year,county,value
2011,Hawaiʻi,2.1
2011,Honolulu,-11.6
2011,Kauaʻi,-7
2011,Maui,14.6
2012,Hawaiʻi,24.5
2012,Honolulu,-38.1
2012,Kauaʻi,-3.2
2012,Maui,12
2013,Hawaiʻi,49.1
2013,Honolulu,-28.5
2013,Kauaʻi,56.5
2013,Maui,44.6
2014,Hawaiʻi,58.9
2014,Honolulu,-78.9
2014,Kauaʻi,29.6
2014,Maui,45.9
2015,Hawaiʻi,54.8
2015,Honolulu,-75.4
2015,Kauaʻi,17.1
2015,Maui,-33.7
2016,Hawaiʻi,45.1
2016,Honolulu,-117.7
2016,Kauaʻi,-31.4
2016,Maui,-27.8
2017,Hawaiʻi,35.5
2017,Honolulu,-145.8
2017,Kauaʻi,-26
2017,Maui,-30.2
2018,Hawaiʻi,42.5
2018,Honolulu,-136.5
2018,Kauaʻi,-3.6
2018,Maui,-15.9
2019,Hawaiʻi,-31.9
2019,Honolulu,-126.8
2019,Kauaʻi,-31.9
2019,Maui,-31
